"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Guest Editorial: Special Issue on Affective Speech and Language Synthesis, Generation, and Conversion","S. Amiriparian; B. W. Schuller; N. Asghar; H. Zen; F. Burkhardt","Embedded Intelligence for Health Care & Wellbeing, University of Augsburg, Augsburg, Germany; Embedded Intelligence for Health Care & Wellbeing, University of Augsburg, Augsburg, Germany; Microsoft, Redmond, WA, USA; Google Research, Tokyo, Japan; Speech Communication, Technical University of Berlin, Berlin, Germany","IEEE Transactions on Affective Computing","28 Feb 2023","2023","14","1","3","5","The papers in this special section focus on affective speech and language synthesis, generation, and conversion. As an inseparable and crucial part of spoken language, emotions play a substantial role in human-human and human-technology conversation. They convey information about a person’s needs, how one feels about the objectives of a conversation, the trustworthiness of one’s verbal communication, and more. Accordingly, substantial efforts have been made to generate affective text and speech for conversational AI, artificial storytelling, and machine translation. Similarly, there is a push for converting the affect in text and speech, ideally, in real-time and fully preserving intelligibility, e. g., to hide one’s emotion, for creative applications and in entertainment, or even to augment training data for affect analyzing AI.","1949-3045","","10.1109/TAFFC.2022.3233120","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10056373","Emotion synthesis;emotion conversion;human-AI interaction;empathic AI;affective computing","Special issues and sections;Affective computing;Speech recognition;Oral communication;Emotion recognition;Real-time systems;Natural language processing;Human computer interaction;Artificial intelligence;Trust computing;Training data","","","","","","3","IEEE","28 Feb 2023","","","IEEE","IEEE Journals"
"Introduction to the Special Issue on Deep Learning for Multi-Modal Intelligence Across Speech, Language, Vision, and Heterogeneous Signals","X. He; L. Deng; R. Rose; M. Huang; I. Trancoso; C. Zhang",NA; NA; NA; NA; NA; NA,"IEEE Journal of Selected Topics in Signal Processing","25 Jun 2020","2020","14","3","474","477","The ten papers included in this special section focus on deep learning for multi-modal intelligence across speech, language, vision, and heterogeneous signals. Thanks to the disruptive advances in deep learning, significant progress has been made in artificial intelligence (AI) applications with single modality, such as speech recognition, speech synthesis, image classification, object detection, as well as machine translation and reading comprehension, etc. However, many AI problems require more than one modality, and techniques developed for different modalities can often be successfully cross-fertilized. Therefore, the studies on the modeling and learning approaches across multiple modalities are of great interest. This special issue brings together a diverse but complementary set of contributions on emerging deep learning methods for problems based on multiple modalities including speech, text, image and video.","1941-0484","","10.1109/JSTSP.2020.2989852","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9126279","","Special issues and sections;Deep learning;Speech recognition;Visualization;Speech enhancement;Image processing","","","","2","","0","IEEE","25 Jun 2020","","","IEEE","IEEE Journals"
"Vietnam country report 2016: Updated activities on resources development for Vietnamese Speech and NLP","L. C. Mai","Institute of Information Technology, Vietnam Academy of Science and Technology","2016 Conference of The Oriental Chapter of International Committee for Coordination and Standardization of Speech Databases and Assessment Techniques (O-COCOSDA)","4 May 2017","2016","","","1","6","▪ Till now, there are 11 different corpora, including speech synthesis/recognition, corpora for machine translation, lexicon and other NLP Tools. ▪ New TTS Corpus 2016 — Adding 2 speakers from Broadcast News (1 man and 1 woman)to existed TTS corpus — Text selection: 6000 text selected sentences to cover around 5000 most frequent used Vietnamese Word — Develop new TTS — service oriented, easy to adapt with new voice. ▪ Develop web-based tool to record new voices for further speech corpus development.","2472-7695","978-1-5090-3516-8","10.1109/ICSDA.2016.7919033","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7919033","","","","","","","","","IEEE","4 May 2017","","","IEEE","IEEE Conferences"
"Deep Learning and Machine Learning in Robotics [From the Guest Editors]","F. Bonsignorio; D. Hsu; M. Johnson-Roberson; J. Kober","Heron Robots, Genoa, Italy; National University of Singapore; University of Michigan, Ann Arbor, United States; Delft University of Technology, The Netherlands","IEEE Robotics & Automation Magazine","10 Jun 2020","2020","27","2","20","21","Deep learning has gone through massive growth in recent years. In many fields—computer vision, speech recognition, machine translation, game playing, and others—deep learning has brought unprecedented progress and become the method of choice. Will the same happen in robotics and automation? In a sense, it is already happening. Today, deep learning is often the most common keyword for work presented at major robotics conferences. At the same time, robots, as physical systems, pose unique challenges for deep learning in terms of sample efficiency and safety in real-world robot applications. With robots, data are abundant, but labels are sparse and expensive to acquire. Reinforcement learning in principle does not require data labeling but does require a significant number of iterations on real robots. Transferring the capabilities learned in simulation to real robots and collecting sufficient data for practical robot applications both present major challenges. Further, mistakes by robot learning systems are often much more costly than those by their counterparts in the virtual world. These mistakes may cause irreversible damage to robot hardware or, even worse, loss of human lives. Safety is thus paramount for robot learning systems. ","1558-223X","","10.1109/MRA.2020.2984470","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9113363","","Special issues and sections;Deep learning;Machine learning;Robot sensing systems;Safety;Task analysis","","","","1","","0","IEEE","10 Jun 2020","","","IEEE","IEEE Magazines"
"Keynote - AI for the Public Sector and the Case of Legal NLP","M. Stürmer","**, **, **, **","2023 Ninth International Conference on eDemocracy & eGovernment (ICEDEG)","15 May 2023","2023","","","1","2","Recent innovations such as ChatGPT have increased public interest in artificial intelligence (AI). The keynote explained why AI is not just a short-term hype but has a long history of spanning several eras. A recent revolution has been in the field of Natural Language Processing (NLP). This interdisciplinary field of research is also known as computational linguistics. It is usually implemented by specific NLP tasks, ranging from simple processing steps such as tokenization, stemming, lemmatization to Part of Speech (PoS) tagging and topic modeling. A second, more complex set of NLP tasks includes Namend Entity Recognition (NER), information retrieval, relationship extraction, sentiment analysis, text similarity, and coreference resolution. Finally, the most challenging NLP tasks are considered Question Answering (QA), text summarization, text simplification, text generation, text translation, and chatbots. NLP has especially great potential in the public sector. For example, a new multilingual legal language model for more than 20 languages, developed for the Swiss Federal Court, offers opportunities to increase accessibility of legal documents for citizens while preserving the digital sovereignty of government institutions. These technical results of the National Research Program (NRP) 77 project “Open Justice versus Privacy” are published on Hugging Face, a platform for sharing openly available machine learning models and datasets. Today, it is mostly private companies that build such Large Language Models (LLM), because it requires a large amount of computational resources and highly skilled engineers. For example, to train the new LLaMA model, Meta AI (Facebook) needed more than $30 million worth of graphical processing units (GPU). In addition, 450 MWh of electricity worth about $90,000 was needed to process the data on these GPUs. Negative for innovation and the environment, Meta AI released the LLaMA model only under a non-commercial license. This means that startups and other companies cannot use the model for their own services. This calls for a discussion about how “open” today's machine learning models should be and what “open” actually means in the age of AI. The keynote presentation therefore included a proposal of 5 elements of such machine learning models that need to be openly available and licensed under an official open license in order to speak of an Open AI Model. This term is used by the United Nations definition of Digital Public Goods. These five elements include 1) model architecture (detailed scientific publications), 2) hyperparameters (built configuration), 3) training data (labeled and unlabeled datasets), 4) model weights and intermediate checkpoints (parameters), and 5) source code to build the model (programming scripts etc.). A truly openly available AI model is BLOOM, an LLM from the BigScience initiative. It was built by more than 1000 researchers from over 70 countries, trained on an infrastructure that would have cost EUR 3 million. BLOOM was released on July 12th, 2022 on Hugging Face and is licensed under the Responsible AI License (RAIL), a new type of AI license that incorporates ethical aspects while preserving the openness of the machine learning elements described.","2573-1998","979-8-3503-2450-1","10.1109/ICEDEG58167.2023.10122084","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10122084","","","chatbots;computational linguistics;graphics processing units;law;learning (artificial intelligence);natural language processing;question answering (information retrieval);sentiment analysis;social networking (online);text analysis","AI license;artificial intelligence;chatbots;ChatGPT;computational linguistics;computational resources;digital public goods;graphical processing units;Hugging Face;information retrieval;large language models;legal documents;legal NLP;LLaMA model;machine learning;Meta AI;multilingual legal language model;namend entity recognition;National Research Program 77 project;natural language processing;noncommercial license;official open license;Open AI Model;public sector;question answering;relationship extraction;scientific publications;Swiss Federal Court;text generation;text similarity;text simplification;text summarization;text translation;topic modeling;United Nations definition","","","","","IEEE","15 May 2023","","","IEEE","IEEE Conferences"
"Keynote: The computer science behind the Microsoft Cognitive Toolkit: An open source large-scale deep learning toolkit for Windows and Linux","F. Seide","Microsoft Research, Redmond, WA, US","2017 IEEE/ACM International Symposium on Code Generation and Optimization (CGO)","28 Feb 2017","2017","","","xi","xi","Deep Learning is redefining computing. Deep Neural Networks, or DNNs, have led to breakthrough accuracy improvements for tasks formerly considered AI, like speech recognition, image classification, and translation. Recurrent DNNs are differentiable universal computers. DNNs are layered structures of relatively simple functions with millions to billions of learnable model parameters. The challenge is that these model parameters are obtained by machine learning of sometimes billions of data samples, which often requires harnessing a farm of powerful multi-GPU servers. Microsoft's open source Cognitive Toolkit (CNTK) is used to create the DNNs that power many Microsoft services and products. It enables researchers and data scientists to easily code such neural networks at the right abstraction level, and to efficiently train and test them on production-scale data. This talk will discuss the Cognitive Toolkit and how it takes a functional-style, differentiable user program, compiles it into a computation graph for GPU execution, and distributes execution of its training across a GPU-server farm. This talk will explain how the toolkit's design intersects with several topics of interest to the three co-located conferences.","","978-1-5090-4931-8","10.1109/CGO.2017.7863722","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7863722","","","computer science;graphics processing units;learning (artificial intelligence);Linux;neural nets;public domain software","computer science;Microsoft cognitive toolkit;open source large-scale deep learning toolkit;windows;Linux;deep neural networks;DNN;image classification;speech recognition;universal computers;learnable model parameters;machine learning;Microsoft open source cognitive toolkit;CNTK;data scientists;production scale data;cognitive toolkit;differentiable user program;GPU-server farm","","10","","","IEEE","28 Feb 2017","","","IEEE","IEEE Conferences"
"Invited Talk #2 Vietnamese Neural Language Model for NLP Tasks With Limited Resources","Q. T. Tho","Vietnam National University, Ho Chi Minh, Vietnam","2018 5th NAFOSTED Conference on Information and Computer Science (NICS)","10 Jan 2019","2018","","","xxviii","xxviii","A statistical language model is a probability distribution over sequences of words. Language modeling is used in various computing tasks such as speech recognition, machine translation, optical character and handwriting recognition and information retrieval and other applications. Whereas n-gram is considered as a traditional language model, neural language model has been emerging recently as a means to approximate the probability of a sentence using neural networks and word embeddings. An advantage of a neural language model is that it can be further applied to other NLP tasks where the training datasets may be limited. In this talk, we realize this idea by introducing the usage of a Vietnamese neural model language trained from a large corpus of social media data. When further applying this neural model language with other NLP tasks including entity recognition, spam detection and topic modeling with relatively small training datasets; we witness improved performance achieved, as compared to other existing approaches using deep learning with typical word embedding techniques.","","978-1-5386-7983-8","10.1109/NICS.2018.8606865","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8606865","","Computational modeling;Task analysis;Urban areas;Training;Computer science;Probability distribution;Speech recognition","natural language processing;neural nets;statistical distributions","word embeddings;topic modeling;spam detection;NLP tasks;Vietnamese neural language model;entity recognition;neural networks;statistical language model","","","","0","IEEE","10 Jan 2019","","","IEEE","IEEE Conferences"
"IEEE Draft Standard - Adoption of Moving Picture, Audio and Data Coding by Artificial Intelligence (MPAI) Technical Specification Multimodal Conversation Version 1.2","",,"IEEE Draft Standard - Adoption of Moving Picture, Audio and Data Coding by Artificial Intelligence (MPAI) Technical Specification Multimodal Conversation Version 1.2","","","","","","","Multimodal Conversation (MPAI-MMC) is an MPAI Standard comprising five Use Cases, all sharing the use of artificial intelligence (AI) to enable a form of human-machine conversation that emulates human-human conversation in completeness and intensity: 1. â¿¿Conversation with Emotionâ¿ (CWE), supporting audio-visual conversation with a machine impersonated by a synthetic voice and an animated face. 2. â¿¿Multimodal Question Answeringâ¿ (MQA), supporting request for information about a displayed object. 3. Three Uses Cases supporting conversational translation applications. In each Use Case, users can specify whether speech or text is used as input and, if it is speech, whether their speech features are preserved in the interpreted speech: a. â¿¿Unidirectional Speech Translationâ¿ (UST). b. â¿¿Bidirectional Speech Translationâ¿ (BST). c. â¿¿One-to-Many Speech Translationâ¿ (MST).","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=STDUD25707","","","","","","","","","","17 Oct 2022","","",""," Standards"
"IEEE Draft Standard for Adoption of Moving Picture, Audio and Data Coding by Artificial Intelligence (MPAI) Technical Specification Multimodal Conversation Version 1.2","",,"IEEE Draft Standard for Adoption of Moving Picture, Audio and Data Coding by Artificial Intelligence (MPAI) Technical Specification Multimodal Conversation Version 1.2","","","","","","","Multimodal Conversation (MPAI-MMC) is an MPAI Standard comprising five Use Cases, all sharing the use of artificial intelligence (AI) to enable a form of human-machine conversation that emulates human-human conversation in completeness and intensity: 1. â¿¿Conversation with Emotionâ¿ (CWE), supporting audio-visual conversation with a machine impersonated by a synthetic voice and an animated face. 2. â¿¿Multimodal Question Answeringâ¿ (MQA), supporting request for information about a displayed object. 3. Three Uses Cases supporting conversational translation applications. In each Use Case, users can specify whether speech or text is used as input and, if it is speech, whether their speech features are preserved in the interpreted speech: a. â¿¿Unidirectional Speech Translationâ¿ (UST). b. â¿¿Bidirectional Speech Translationâ¿ (BST). c. â¿¿One-to-Many Speech Translationâ¿ (MST).","","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=STDUD25550","","","","","","","","","","21 Jul 2022","","",""," Standards"
"Pervasive Data Science and AI","N. Davies; N. D. Lane; M. Musolesi",Lancaster University; University of OxfordSamsung AI; University College London,"IEEE Pervasive Computing","27 Nov 2019","2019","18","3","7","8","Recent years have seen an explosion in the use of data science and AI as a central tenant in numerous computing applications, products, research, and innovation. Examples of the success of data science abound—applying new machine-learning techniques to problems such as vision and speech recognition and translation has achieved commonplace levels of performance that would have seemed impossible a few years ago. In parallel, developments in pervasive computing increasingly enable us to instrument our physical environment with complex sensors and actuators and create an interconnected world that generates huge volumes of data. The importance of these trends can be seen in the growing momentum of exemplars such as the Internet of Things (IoT), smart environments, and augmented cognition. Pervasive data science is characterized by a focus on the collection, analysis (inference), and use of data (actuation) in pursuit of the vision of ubiquitous computing1 and raises multiple new challenges, demanding new approaches to how we capture, process, and use data in pervasive environments. Beyond the hype, it is clear that our world is becoming increasingly data centric, in which both physical and electronic services depend on the collection, analysis, and application of large volumes of heterogeneous data. In this Special Issue, we present a series of articles that cover different aspects of the exciting work that is currently carried out in this area.","1558-2590","","10.1109/MPRV.2019.2944289","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8915867","","Special issues and sections;Artificial intelligence;Machine learning;Data science;Sensors;Computational modeling;Predictive models","","","","","","1","IEEE","27 Nov 2019","","","IEEE","IEEE Magazines"
"Plenary talks: Frontiers in recurrent neural network research","A. Graves",Google DeepMind,"2017 International Joint Conference on Neural Networks (IJCNN)","3 Jul 2017","2017","","","21","33","In the last few years, recurrent neural networks (RNNs) have become the Swiss Army knife of large-scale sequence processing. Problems involving long and complex data streams, such as speech recognition, machine translation and reinforcement learning from raw video, are now routinely tackled with RNNs. This talk takes a look at some of the new architectures, applications and training strategies currently being developed in this exciting field.","2161-4407","978-1-5090-6182-2","10.1109/IJCNN.2017.7965820","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7965820","","","","","","","","","IEEE","3 Jul 2017","","","IEEE","IEEE Conferences"
"Keynote talk — 2: Developing language resources for under-resourced languages in Indonesia","T. Suhardijanto","Department of Linguistics, Faculty of Humanities, University of Indonesia","2016 International Conference on Knowledge Creation and Intelligent Computing (KCIC)","23 Mar 2017","2016","","","23","23","Language resources plays a key role in human language technology especially NLP and computational linguistic works such as machine translation, sentiment analysis, automatic sound recognition, and text-tospeech. Many NLP applications has been built based on existing language resources. Over the past decade, major languages such as English, French, and German have experienced a significant progress and have a tremendous language resources for building application, linguistic research, and future use. Unlike these major languages, many other languages of the world are still neglected from the perspectives of language engineer. As a result, it is difficult to find any existing language resources in minor languages including languages og Indonesia. With regard to Indonesia, it has 742 languages that most of them are under-resourced languages. In this paper, we present an analytical review of existing problems and approaches in our effort to develop language resources for many languages lacking speech and text resources in Indonesia.","","978-1-5090-5231-8","10.1109/KCIC.2016.7883614","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7883614","","","","","","","","","IEEE","23 Mar 2017","","","IEEE","IEEE Conferences"
"Special Topic on Nonvolatile Memory for Efficient Implementation of Neural/Neuromorphic Computing","S. Yu","Georgia Institute of Technology Atlanta, GA, USA","IEEE Journal on Exploratory Solid-State Computational Devices and Circuits","10 Jun 2019","2019","5","1","ii","iii","In recent years, artificial intelligence (AI) based on machine/deep learning has shown significantly improved accuracy in large-scale visual/auditory recognition and classification tasks, some even surpassing human-level accuracy. In particular, deep neural networks (DNNs) and their variants have proved their efficacy in a wide range of image, video, speech, and biomedical applications. To achieve incremental accuracy improvement, state-of-the-art deep learning algorithms tend to aggressively increase the depth and size of the network, which imposes ever-increasing computational capacity and storage cost in hardware. Although graphic processing units (GPUs) are the dominant technology in the training of the DNN models at the cloud, application-specific integrated circuit (ASIC) hardware accelerators are being developed to run large-scale deep learning algorithms for inference (or even training) on-chip. This provides opportunities to bring the AI closer to the edge device for applications such as autonomous driving, machine translation, and smart wearable devices, where severe constraints exist in performance, power, and area.","2329-9231","","10.1109/JXCDC.2019.2913526","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8732946","","Special issues and sections;Nonvolatile memory;Random access memory;Neural networks;Synapses;Neurons;Spintronics;Neuromorphic engineering","","","","","","0","OAPA","10 Jun 2019","","","IEEE","IEEE Journals"
"Statistical machine translation gains respect","D. Geer",NA,"Computer","10 Oct 2005","2005","38","10","18","21","Relatively few researchers have worked on approaches that compare and analyze documents and their already-available translations to determine statistically, without prior linguistic knowledge, the likely meanings of phrases. These statistical systems use this information to translate new documents. For years, because processors were not fast enough to handle the extensive computation these systems require, many experts considered statistical systems inferior to rule-based systems. However, when the Speech Group of the US National Institute of Standards and Technology's Information Access Division tested 20 machine translation technologies, a statistical system developed by Google finished in first place. The NIST test results' significance is that Google and other organizations will invest more time, money, and talent into researching this approach. Meanwhile, faster processors and other advances are making statistical translation technology more accurate and thus more useful. However, the approach must still clear several hurdles - such as still inadequate accuracy and problems recognizing idioms - before it can be useful for mission-critical tasks.","1558-0814","","10.1109/MC.2005.353","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1516048","Machine translation technology;Linguistics;Statistical translation systems;Translation technology","Snow;Humans;Natural languages;Dictionaries;Mathematical analysis;Mathematical model;Machine intelligence;Laboratories;Speech processing;Feeds","language translation;natural languages;search engines;Internet;document handling","statistical machine translation;search engine;rule based technology;document handling;Internet","","4","","","IEEE","10 Oct 2005","","","IEEE","IEEE Magazines"
"1997 IEEE International Conference on Acoustics, Speech, and Signal Processing","",,"1997 IEEE International Conference on Acoustics, Speech, and Signal Processing","6 Aug 2002","1997","4","","iii","","Presents the front cover of the proceedings.","1520-6149","0-8186-7919-0","10.1109/ICASSP.1997.595303","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=595303","","","signal processing;acoustics;speech processing;equalisers;neural nets;multimedia systems;array signal processing;acoustic signal processing;mobile communication;parameter estimation;echo suppression;audio coding;active noise control;hearing aids;signal detection;digital signal processing chips;speech recognition;speech coding;speech synthesis;speech enhancement;signal reconstruction;adaptive filters;time-frequency analysis;wavelet transforms;digital filters;image processing;image restoration;image enhancement;video signal processing;motion estimation;image coding;pattern recognition","signal processing;blind equalisation;channel identification;tracking;speech-to-speech translation;neural network applications;multimedia human-machine interaction;microphone array signal processing;mobile communication;statistical signal processing;frequency estimation;echo cancellation;audio coding;active noise control;hearing aids;computer music;matched field processing;signal detection;DSP processors;parameter estimation;time-scale analysis;broadcast news recognition;CELP speech coding;language modeling;word spotting;speech synthesis;acoustic modeling;speaker adaptation;speaker verification;language identification;spoken language systems;speech enhancement;speech analysis;speech models;low bit rate speech coding;large vocabulary systems;signal reconstruction;adaptive filters;fast algorithms;time-frequency analysis;wavelets;filterbank design;digital filter design","","","","","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"[Title page]","",,"2009 IEEE Workshop on Automatic Speech Recognition & Understanding","8 Jan 2010","2009","","","1","1","The following topics are dealt with: speech recognition; acoustic modeling; robustness in ASR I; language modeling; spoken document retrieval and summarization; spoken/multimodal language understanding and dialog systems; multilingual speech processing and machine translation.","","978-1-4244-5478-5","10.1109/ASRU.2009.5373497","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5373497","","","acoustic signal processing;information retrieval;language translation;natural language processing;speech processing;speech recognition","speech recognition;acoustic modeling;ASR;language modeling;spoken document retrieval;summarization;spoken language understanding;multimodal language understanding;dialog systems;multilingual speech processing;machine translation","","","","","IEEE","8 Jan 2010","","","IEEE","IEEE Conferences"
"[Front cover]","",,"2009 IEEE International Conference on Acoustics, Speech and Signal Processing","26 May 2009","2009","","","c1","c1","The following topics were dealt with: audio coding; signal enhancement; source separation; microphone and loudspeaker array signal processing; acoustic echo control; active noise control; sound perception; audio analysis and synthesis; multichannel biomedical signal processing; biomedical image processing; bioinformatics; scalable and multiview video coding; image filtering; stereoscopic and 3-D processing; video segmentation and tracking; feature extraction; image superresolution; biometrics; motion estimation; stereo processing; image coding; remote sensing imagery; image retrieval; image quality assessment; image modeling; video modeling; image restoration; intelligent vehicle applications; security methods for physical devices and media; data hiding methods in speech and audio; authentication; watermarking; fingerprinting; signal decomposition; learning methods; MLSP applications; statistical modelling techniques; signal extraction; dimensionality reduction; multimedia synchronization; multimedia indexing and retrieval; multimodal systems and applications; multimedia database; video transmission and coding systems; beamforming and space-time adaptive processing; sensor networks; sensor array processing; multi-antenna processing for wireless communications; signal processing education; cognitive radio and dynamic spectrum management; resource allocation; optimisation; game theory; precoding; sensor networks; distributed estimation; consensus averaging; information theory and networking; MIMO detection and decoding; OFDM; relay and cooperative systems; channel estimation and equalisation; space-time coding; vector precoding; diversity, blind estimation and performance analysis; cooperative processing over adaptive networks; compressed sensing; Monte Carlo methods for detection and estimation; sampling theory; nonstationary signal analysis; adaptive filters; digital and multirate filtering; signal reconstruction; multimedia social networks; signal processing for neural spike trains; multimedia surveillance; video search and event analysis; voice transformation; interference channels; spectrum sharing; robot audition; consensus gossiping; handling reverberant speech; discriminative training for ASR; robust speech recognition; voice conversion; voice search; spoken term detection; speaker verification; speaker diarization and clustering; speaker recognition; large vocabulary ASR; language and dialect identification; speech adaptation; speech enhancement; speech production, perception and analysis; spoken language understanding; language modeling and machine learning for speech processing; machine translation; dialog system; language acquisition and annotation; speech retrieval; and speech mining.","2379-190X","978-1-4244-2353-8","10.1109/ICASSP.2009.4959497","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4959497","","","active noise control;adaptive filters;audio coding;bioinformatics;blind source separation;channel estimation;cognitive radio;cooperative systems;data encapsulation;feature extraction;fingerprint identification;game theory;image coding;image resolution;image restoration;image retrieval;information theory;interactive systems;language translation;learning (artificial intelligence);medical image processing;medical signal processing;microphone arrays;MIMO systems;Monte Carlo methods;motion estimation;multimedia databases;neurophysiology;OFDM modulation;optimisation;resource allocation;robots;signal reconstruction;speaker recognition;speech enhancement;speech recognition;stereo image processing;video coding;watermarking","audio coding;signal enhancement;source separation;microphone signal processing;loudspeaker array signal processing;acoustic echo control;active noise control;sound perception;audio analysis;audiosynthesis;multichannel biomedical signal processing;bioinformatics;scalable video coding;multiview video coding;image filtering;stereoscopic processing;3-D processing;video segmentation;video tracking;feature extraction;image superresolution;biometrics;motion estimation;stereo processing;image coding;remote sensing imagery;image retrieval;image quality assessment;image modeling;video modeling;image restoration;intelligent vehicle applications;security methods;data hiding;authentication;watermarking;fingerprinting;signal decomposition;learning methods;MLSP applications;statistical modelling;signal extraction;dimensionality reduction;multimedia synchronization;multimedia indexing;multimedia retrieval;multimodal systems;multimedia database;video transmission;video coding systems;beamforming;space-time adaptive processing;sensor networks;sensor array processing;multiantenna processing;wireless communications;signal processing education;cognitive radio;dynamic spectrum management;resource allocation;optimisation;game theory;precoding;distributed estimation;consensus averaging;information theory;networking;MIMO detection;decoding;OFDM;relay systems;cooperative systems;channel estimation;channel equalisation;space-time coding;vector precoding;cooperative processing;adaptive networks;compressed sensing;Monte Carlo methods;sampling theory;nonstationary signal analysis;adaptive filters;digital filtering;multirate filtering;signal reconstruction;multimedia social networks;signal processing;neural spike trains;multimedia surveillance;video search;event analysis;voice transformation;interference channels;spectrum sharing;robot audition;consensus gossiping;handling reverberant speech;discriminative training;robust speech recognition;voice conversion;voice search;spoken term detection;speaker verification;speaker diarization;clustering;speaker recognition;large vocabulary ASR;language identification;dialect identification;speech adaptation;speech enhancement;speech production;speech perception;speech analysis;spoken language understanding;language modeling;machine learning;machine translation;dialog system;language acquisition;language annotation;speech retrieval;speech mining","","","","","IEEE","26 May 2009","","","IEEE","IEEE Conferences"
"Special issue on speech-to-speech machine translation","",,"IEEE Transactions on Speech and Audio Processing","19 Apr 2004","2004","12","3","348","348","Provides notice of upcoming special issues of interest to practitioners and researchers.","1558-2353","","10.1109/TSA.2004.828665","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1288164","","","","","","","","","IEEE","19 Apr 2004","","","IEEE","IEEE Journals"
"2003 International Conference on Natural Language Processing and Knowledge Engineering (IEEE Cat. No.03EX703)","",,"International Conference on Natural Language Processing and Knowledge Engineering, 2003. Proceedings. 2003","22 Mar 2004","2003","","","","","The following topics are dealt with: natural language processing; speech recognition; knowledge representation; word sense disambiguation; pattern extraction; rule extraction; dialogue systems; question and answering; discourse processing; speech synthesis; document processing; text chunking; digital watermarking; speech enhancement; speaker identification; collocation extraction; information retrieval; term extraction; knowledge acquisition; machine translation; word segmentation; text classification; parsing; text summarization; Web monitoring; semantic-oriented language; computational linguistics.","","0-7803-7902-0","10.1109/NLPKE.2003.1275857","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1275857","","","natural languages;text analysis;speech recognition;knowledge acquisition;knowledge representation;semantic Web;computational linguistics;speech synthesis;language translation","natural language processing;speech recognition;knowledge representation;word sense disambiguation;pattern extraction;dialogue system;discourse processing;speech synthesis;document processing;text chunking;digital watermarking;speech enhancement;speaker identification;information retrieval;term extraction;knowledge acquisition;machine translation;word segmentation;parsing;text summarization;computational linguistics;semantic Web","","","","","IEEE","22 Mar 2004","","","IEEE","IEEE Conferences"
"Proceedings of the 2005 12th IEEE International Conference on Natural Language Processing and Knowledge Engineering (IEEE NLP-KE '05) (IEEE Cat. No. 05EX1156)","",,"2005 International Conference on Natural Language Processing and Knowledge Engineering","27 Feb 2006","2005","","","","","The following topics are dealt with: natural language processing; machine translation; grammars; computational linguistics; knowledge engineering; speech processing; linguistics; information retrieval; text analysis; speech recognition.","","0-7803-9361-9","10.1109/NLPKE.2005.1598685","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1598685","","","speech processing;natural languages;computational linguistics;language translation;grammars;speech recognition;information retrieval;knowledge engineering;text analysis","natural language processing;machine translation;grammars;computational linguistics;knowledge engineering;speech processing;linguistics;information retrieval;text analysis;speech recognition","","","","","IEEE","27 Feb 2006","","","IEEE","IEEE Conferences"
"Special issue on speech-to-speech machine translation","",,"IEEE Transactions on Image Processing","13 Apr 2004","2004","13","4","626","626","Provides notice of upcoming special issues of interest to practitioners and researchers.","1941-0042","","10.1109/TIP.2004.827908","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1284400","","","","","","","","","IEEE","13 Apr 2004","","","IEEE","IEEE Journals"
"Special issue on speech-to-speech machine translation","",,"IEEE Transactions on Image Processing","30 Mar 2004","2004","13","3","454","454","Provides notice of upcoming special issues of interest to practitioners and researchers.","1941-0042","","10.1109/TIP.2004.827408","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1278370","","","","","","","","","IEEE","30 Mar 2004","","","IEEE","IEEE Journals"
